('HP:0100559', 'GO:0001937')
('HP:0003829', 'GO:2001234')
('HP:0009738', 'GO:0005577')
('HP:0100649', 'GO:0070531')
('HP:0100022', 'GO:2001244')
('HP:0000135', 'GO:0031461')
('HP:0008046', 'GO:0045298')
('HP:0000991', 'GO:0030971')
('HP:0007642', 'GO:0070412')
('HP:0006784', 'GO:0005654')
('HP:0003774', 'GO:0071480')
('HP:0002650', 'GO:2000007')
('HP:0004306', 'GO:0009898')
('HP:0000545', 'GO:0048010')
('HP:0001107', 'GO:0030877')
('HP:0009944', 'GO:0006468')
('HP:0001761', 'GO:0016236')
('HP:0001762', 'GO:0004468')
('HP:0012798', 'GO:0005730')
('HP:0200039', 'GO:0030336')
('HP:0006824', 'GO:0090037')
('HP:0010112', 'GO:0001085')
('HP:0001541', 'GO:0043409')
('HP:0001640', 'GO:0006486')
('HP:0000015', 'GO:0001103')
('HP:0001596', 'GO:0006970')
('HP:0002575', 'GO:0016597')
('HP:0001761', 'GO:0072201')
('HP:0003676', 'GO:0005606')
('HP:0008572', 'GO:0000381')
('HP:0002150', 'GO:0071276')
('HP:0030680', 'GO:0019985')
('HP:0000327', 'GO:0043020')
('HP:0001701', 'GO:0030496')
('HP:0000272', 'GO:1904751')
('HP:0000453', 'GO:0051272')
('HP:0008936', 'GO:0043087')
('HP:0008388', 'GO:0016592')
('HP:0000982', 'GO:0061853')
('HP:0100258', 'GO:0005769')
('HP:0000160', 'GO:0050908')
('HP:0001482', 'GO:0042288')
('HP:0001178', 'GO:0001533')
('HP:0012378', 'GO:0050849')
('HP:0001513', 'GO:0050063')
('HP:0005562', 'GO:0097179')
('HP:0000772', 'GO:0045595')
('HP:0001188', 'GO:0050699')
('HP:0002208', 'GO:0032968')
('HP:0001743', 'GO:0055037')
('HP:0003276', 'GO:0045892')
('HP:0002032', 'GO:0007004')
('HP:0002027', 'GO:0061099')
('HP:0000505', 'GO:0050995')
('HP:0000055', 'GO:0033593')
('HP:0000601', 'GO:0005747')
('HP:0008326', 'GO:0042803')
('HP:0012126', 'GO:1990804')
('HP:0001663', 'GO:0030335')
('HP:0100490', 'GO:0071173')
('HP:0003196', 'GO:0032487')
('HP:0002672', 'GO:0048471')
('HP:0001395', 'GO:0060355')
('HP:0000533', 'GO:0006461')
('HP:0008551', 'GO:0071459')
('HP:0007657', 'GO:0051087')
('HP:0000144', 'GO:0070200')
('HP:0003781', 'GO:0050998')
('HP:0100840', 'GO:0042555')
('HP:0001629', 'GO:0034363')
('HP:0001510', 'GO:0006575')
('HP:0002066', 'GO:0031659')
('HP:0000483', 'GO:0034505')
('HP:0000813', 'GO:0045785')
('HP:0002105', 'GO:0097201')
('HP:0007002', 'GO:0070840')
('HP:0005542', 'GO:0000122')
('HP:0002013', 'GO:0030521')
('HP:0004280', 'GO:0001098')
('HP:0100785', 'GO:0033607')
('HP:0002828', 'GO:0017137')
('HP:0002960', 'GO:0061700')
('HP:0004422', 'GO:0071733')
('HP:0001635', 'GO:0030516')
('HP:0002092', 'GO:0008023')
('HP:0010535', 'GO:0034451')
('HP:0000979', 'GO:0044767')
('HP:0000276', 'GO:0032880')
('HP:0003502', 'GO:0060324')
('HP:0100781', 'GO:0070182')
('HP:0004552', 'GO:0001942')
('HP:0001376', 'GO:0042102')
('HP:0004375', 'GO:2001242')
('HP:0000637', 'GO:0045202')
('HP:0008897', 'GO:0071318')
('HP:0001482', 'GO:0032500')
('HP:0100490', 'GO:0000445')
('HP:0000175', 'GO:1903977')
('HP:0001262', 'GO:0032045')
('HP:0006498', 'GO:0097058')
('HP:0001924', 'GO:0030506')
('HP:0030260', 'GO:0008140')
('HP:0100555', 'GO:0051260')
('HP:0002024', 'GO:0070273')
('HP:0003510', 'GO:0045669')
('HP:0004736', 'GO:0019900')
('HP:0000710', 'GO:0031996')
('HP:0003083', 'GO:0044697')
('HP:0002067', 'GO:1903705')
('HP:0004322', 'GO:0045939')
('HP:0001376', 'GO:0031177')
('HP:0002586', 'GO:0008537')
('HP:0011362', 'GO:0071276')
('HP:0002719', 'GO:0001541')
('HP:0003765', 'GO:0001085')
('HP:0000319', 'GO:0002062')
('HP:0002239', 'GO:0001823')
('HP:0005453', 'GO:0046777')
('HP:0001166', 'GO:0043522')
('HP:0001254', 'GO:0097361')
('HP:0004467', 'GO:1990381')
('HP:0009800', 'GO:0016479')
('HP:0001852', 'GO:0033160')
('HP:0002269', 'GO:0031084')
('HP:0000369', 'GO:0010814')
('HP:0001182', 'GO:0000940')
('HP:0001288', 'GO:1903050')
('HP:0004058', 'GO:0048736')
('HP:0003710', 'GO:1905334')
('HP:0001344', 'GO:0090644')
('HP:0030195', 'GO:0048146')
('HP:0100614', 'GO:0009967')
('HP:0000639', 'GO:0045751')
('HP:0001074', 'GO:0010628')
('HP:0002235', 'GO:0019955')
('HP:0011463', 'GO:0033683')
('HP:0002585', 'GO:1902894')
('HP:0001945', 'GO:0034121')
('HP:0003063', 'GO:0046966')
('HP:0001769', 'GO:0070331')
('HP:0002135', 'GO:0000817')
('HP:0001547', 'GO:0070467')
('HP:0000048', 'GO:0002193')
('HP:0000613', 'GO:0035176')
('HP:0001662', 'GO:0005765')
('HP:0000158', 'GO:1903146')
('HP:0002126', 'GO:0030620')
('HP:0001701', 'GO:0003714')
('HP:0001052', 'GO:0043588')
('HP:0008059', 'GO:0017025')
('HP:0001620', 'GO:0036038')
('HP:0012163', 'GO:1901213')
('HP:0001423', 'GO:0008286')
('HP:0000639', 'GO:0055072')
('HP:0001371', 'GO:0000409')
('HP:0100026', 'GO:0031330')
('HP:0000528', 'GO:0048476')
('HP:0008187', 'GO:0005546')
('HP:0001622', 'GO:0014731')
('HP:0002654', 'GO:0010997')
('HP:0003749', 'GO:0005179')
('HP:0000256', 'GO:0031052')
('HP:0100022', 'GO:0005763')
('HP:0002119', 'GO:0080008')
('HP:0000164', 'GO:0031442')
('HP:0007427', 'GO:0016567')
('HP:0010455', 'GO:0005925')
('HP:0001414', 'GO:0005524')
('HP:0001361', 'GO:0010008')
('HP:0001903', 'GO:0001936')
('HP:0001762', 'GO:1990809')
('HP:0001733', 'GO:0042347')
('HP:0001315', 'GO:0031085')
('HP:0007874', 'GO:0042995')
('HP:0000580', 'GO:0031069')
('HP:0001274', 'GO:0006952')
('HP:0003417', 'GO:0001085')
('HP:0001262', 'GO:0016007')
('HP:0001003', 'GO:0003779')
('HP:0002967', 'GO:0060195')
('HP:0003593', 'GO:1901647')
('HP:0011463', 'GO:1990957')
('HP:0002721', 'GO:0004371')
('HP:0002637', 'GO:1990964')
('HP:0003212', 'GO:0048096')
('HP:0002518', 'GO:1904281')
('HP:0007370', 'GO:2000017')
('HP:0001270', 'GO:0050501')
('HP:0010669', 'GO:0098797')
